GenerationIter,HealingIter,IncomingPatients,PatientsBeingTreated,PatientsRejected,PatientsAdmitted,TotalSickPatients,HealedPatients,TotalPatientsHealed,TotalPatientsRejected,EventType
1,0,5,5,0,5,5,0,0,0,PRODUCE
2,0,1,6,0,1,6,0,0,0,PRODUCE
3,0,7,13,0,7,13,0,0,0,PRODUCE
3,1,7,8,0,7,13,5,5,0,HEAL
4,1,8,16,0,8,21,5,5,0,PRODUCE
5,1,10,20,6,4,31,5,5,6,PRODUCE
6,2,1,16,6,4,32,4,9,6,HEAL
6,2,1,17,6,1,32,4,9,6,PRODUCE
7,2,0,17,6,0,32,4,9,6,PRODUCE
8,2,7,20,4,3,39,4,9,10,PRODUCE
9,3,5,19,4,3,44,1,10,10,HEAL
9,3,5,20,4,1,44,1,10,14,PRODUCE
10,4,0,14,4,1,44,6,16,14,HEAL
10,4,0,14,4,0,44,6,16,14,PRODUCE
11,4,5,19,4,5,49,6,16,14,PRODUCE
12,4,7,20,6,1,56,6,16,20,PRODUCE
13,5,9,16,6,1,65,4,20,20,HEAL
13,5,9,20,5,4,65,4,20,25,PRODUCE
14,6,4,19,5,4,69,1,21,25,HEAL
14,6,4,20,3,1,69,1,21,28,PRODUCE
15,7,9,14,3,1,78,6,27,28,HEAL
15,7,9,20,3,6,78,6,27,31,PRODUCE
16,8,2,13,3,6,80,7,34,31,HEAL
16,8,2,15,3,2,80,7,34,31,PRODUCE
17,8,10,20,5,5,90,7,34,36,PRODUCE
18,9,0,19,5,5,90,1,35,36,HEAL
18,9,0,19,5,0,90,1,35,36,PRODUCE
19,9,2,20,1,1,92,1,35,37,PRODUCE
20,10,8,18,1,1,100,2,37,37,HEAL
20,10,8,20,6,2,100,2,37,43,PRODUCE
20,11,8,19,6,2,100,1,38,43,HEAL
