GenerationIter,HealingIter,IncomingPatients,PatientsBeingTreated,PatientsRejected,PatientsAdmitted,TotalSickPatients,HealedPatients,TotalPatientsHealed,TotalPatientsRejected,EventType
1,0,6,6,0,6,6,0,0,0,PRODUCE
2,0,0,6,0,0,6,0,0,0,PRODUCE
3,0,5,11,0,5,11,0,0,0,PRODUCE
4,0,0,11,0,0,11,0,0,0,PRODUCE
4,1,0,6,0,0,11,5,5,0,HEAL
5,1,1,7,0,1,12,5,5,0,PRODUCE
6,1,7,14,0,7,19,5,5,0,PRODUCE
7,1,0,14,0,0,19,5,5,0,PRODUCE
8,1,5,19,0,5,24,5,5,0,PRODUCE
9,1,5,20,4,1,29,5,5,4,PRODUCE
9,2,5,17,4,1,29,3,8,4,HEAL
10,2,2,19,4,2,31,3,8,4,PRODUCE
11,2,2,20,1,1,33,3,8,5,PRODUCE
12,3,2,14,1,1,35,6,14,5,HEAL
12,3,2,16,1,2,35,6,14,5,PRODUCE
13,3,1,17,1,1,36,6,14,5,PRODUCE
14,3,2,19,1,2,38,6,14,5,PRODUCE
15,3,1,20,1,1,39,6,14,5,PRODUCE
16,4,10,20,1,1,49,0,14,5,HEAL
16,5,10,13,1,1,49,7,21,5,HEAL
16,5,10,20,3,7,49,7,21,8,PRODUCE
17,6,8,17,3,7,57,3,24,8,HEAL
17,6,8,20,5,3,57,3,24,13,PRODUCE
18,7,1,20,5,3,58,0,24,13,HEAL
18,8,1,16,5,3,58,4,28,13,HEAL
18,8,1,17,5,1,58,4,28,13,PRODUCE
19,8,0,17,5,0,58,4,28,13,PRODUCE
20,8,5,20,2,3,63,4,28,15,PRODUCE
21,9,1,17,2,3,64,3,31,15,HEAL
21,9,1,18,2,1,64,3,31,15,PRODUCE
22,9,8,20,6,2,72,3,31,21,PRODUCE
23,10,5,19,6,2,77,1,32,21,HEAL
23,10,5,20,4,1,77,1,32,25,PRODUCE
24,11,10,17,4,1,87,3,35,25,HEAL
24,11,10,20,7,3,87,3,35,32,PRODUCE
25,12,1,15,7,3,88,5,40,32,HEAL
25,12,1,16,7,1,88,5,40,32,PRODUCE
26,12,8,20,4,4,96,5,40,36,PRODUCE
27,13,1,20,4,4,97,0,40,36,HEAL
27,14,1,19,4,4,97,1,41,36,HEAL
27,14,1,20,4,1,97,1,41,36,PRODUCE
28,15,2,12,4,1,99,8,49,36,HEAL
28,15,2,14,4,2,99,8,49,36,PRODUCE
29,15,5,19,4,5,104,8,49,36,PRODUCE
30,15,2,20,1,1,106,8,49,37,PRODUCE
30,16,2,20,1,1,106,0,49,37,HEAL
